building_id,original_mean,modified_mean,anomalous_subsequences,min_anomaly_length,max_anomaly_length,total_anomalous_points
1,35.3336073027266,35.3336073027266,59,2,5,216
32,98.40620460175317,98.40620460175317,59,2,5,216
41,61.06440170995665,61.06440170995664,59,2,5,216
55,33.90652438782908,33.90652438782908,59,2,5,216
69,29.374116227567125,29.374116227567125,59,2,5,216
79,176.92530248906095,176.92530248906095,59,2,5,216
82,15.801585906767674,15.801585906767677,59,2,5,216
91,127.0410034464226,127.0410034464226,59,2,5,216
107,199.19363557909023,199.19363557909023,83,2,5,300
108,205.86826836156274,205.86826836156274,96,2,5,350
111,371.4901205431027,371.4901205431027,96,2,5,350
112,22.84522866765929,22.84522866765929,96,2,5,350
117,42.59352378395695,42.59352378395695,96,2,5,350
118,344.096085837887,344.096085837887,96,2,5,350
119,496.5567854583723,496.5567854583723,96,2,5,350
121,565.6467323542805,565.6467323542805,96,2,5,350
136,32.68872446699087,32.68872446699087,96,2,5,350
137,37.38258943068749,37.38258943068749,96,2,5,350
139,69.63578984423664,69.63578984423664,96,2,5,350
141,48.27814537323171,48.27814537323171,96,2,5,350
144,28.437644555698856,28.437644555698856,96,2,5,350
147,116.51938931026146,116.51938931026146,96,2,5,350
148,200.93321905552492,200.93321905552492,96,2,5,350
149,107.9509462756138,107.9509462756138,96,2,5,350
159,15.145339108628747,15.145339108628747,96,2,5,349
171,51.517959459519396,51.51795945951941,96,2,5,350
173,126.90862885776107,126.90862885776107,96,2,5,350
174,168.12790684432295,168.12790684432295,96,2,5,350
181,201.92461897710442,201.92461897710442,96,2,5,349
183,219.66841134267167,219.66841134267167,96,2,5,350
190,123.90296699381258,123.90296699381258,96,2,5,350
235,36.71520385815047,36.715203858150474,96,2,5,350
238,134.73874130819092,134.73874130819092,93,2,5,339
240,100.48521038495987,100.48521038495987,96,2,5,350
246,360.5633306763835,360.5633306763835,96,2,5,350
247,171.53270551247797,171.532705512478,95,2,5,347
248,63.09269038899781,63.09269038899781,96,2,5,350
253,87.97700751537235,87.97700751537235,96,2,5,350
254,307.37235093762246,307.37235093762246,96,2,5,350
263,62.4158237096394,62.4158237096394,93,2,5,339
270,21.193932240514773,21.19393224051477,95,2,5,347
275,146.2217776907904,146.2217776907904,96,2,5,350
276,189.03591510790946,189.03591510790946,96,2,5,350
278,158.47800930117708,158.47800930117708,96,2,5,350
290,71.30099965843105,71.30099965843105,96,2,5,350
293,714.9978717831929,714.9978717831929,96,2,5,350
312,5.720019758871844,5.720019758871844,96,2,5,350
318,240.675478546264,240.67547854626406,95,2,5,347
335,453.0962565791882,453.0962565791882,96,2,5,350
345,0.754151226810361,0.754151226810361,96,2,5,349
356,4.251994291542767,4.251994291542767,96,2,5,350
423,2.1382108981894135,2.138210898189413,96,2,5,349
439,107.68431148664078,107.68431148664078,96,2,5,349
492,193.63720323109345,193.63720323109345,94,2,5,341
534,2.2585229155476605,2.2585229155476605,96,2,5,350
560,710.1354225028703,710.1354225028703,95,2,5,347
623,23.592491859273597,23.592491859273593,96,2,5,350
653,939.1153140052505,939.1153140052505,96,2,5,349
657,51.46166385805383,51.461663858053825,96,2,5,350
658,14.108485054091094,14.108485054091094,96,2,5,350
666,5.190998476027039,5.190998476027039,96,2,5,350
667,4.143274636503091,4.143274636503091,96,2,5,350
673,14.611244643752899,14.611244643752899,96,2,5,350
675,63.61038042138631,63.61038042138631,96,2,5,350
677,4.777832790404715,4.777832790404715,96,2,5,350
680,4.564181040347921,4.564181040347921,96,2,5,350
683,3.36037419067703,3.36037419067703,96,2,5,350
685,378.7327730191809,378.7327730191809,96,2,5,350
687,29.53923246209625,29.53923246209625,96,2,5,350
693,61.971752823659095,61.971752823659095,96,2,5,350
697,7.063234061930783,7.063234061930783,96,2,5,350
698,7.646952231461219,7.646952231461217,96,2,5,350
701,49.3789020335278,49.3789020335278,96,2,5,350
708,47.79832447853414,47.79832447853414,96,2,5,350
710,3.771229139234147,3.771229139234147,96,2,5,350
721,56.43905024740179,56.43905024740179,96,2,5,350
722,8.746575179930684,8.746575179930684,96,2,5,350
729,9.0250597705538,9.0250597705538,96,2,5,350
730,47.641821360032914,47.641821360032914,96,2,5,350
732,42.70129361852643,42.70129361852643,96,2,5,350
739,43.50415897872728,43.50415897872728,96,2,5,350
742,35.19121662904988,35.19121662904989,96,2,5,350
801,4655.428994490631,4655.42899449063,96,2,5,350
827,31.25438197102014,31.25438197102014,85,2,5,310
844,21.0632956401558,21.0632956401558,87,2,5,317
848,1.113709452262368,1.113709452262368,91,2,5,332
879,247.8413016281597,247.8413016281597,96,2,5,349
880,147.08785121982964,147.08785121982964,96,2,5,349
881,949.3537393262486,949.3537393262486,94,2,5,343
882,34.55528300647271,34.555283006472706,96,2,5,349
884,53.85554887259851,53.85554887259851,96,2,5,349
886,83.76663734634602,83.76663734634602,96,2,5,349
887,51.79026905105411,51.79026905105411,96,2,5,349
889,87.20324033825725,87.20324033825725,96,2,5,349
890,405.39848276971105,405.3984827697111,96,2,5,349
892,129.67252636952983,129.67252636952983,94,2,5,343
893,30.06771478302464,30.06771478302464,96,2,5,349
894,72.70928562913281,72.70928562913281,96,2,5,349
895,37.63005749804069,37.63005749804069,96,2,5,349
896,259.477261592776,259.477261592776,96,2,5,349
903,613.2225802993147,613.2225802993147,96,2,5,349
905,34.09416955977279,34.09416955977278,96,2,5,349
909,125.88440981401688,125.88440981401688,88,2,5,319
914,390.6499352154377,390.6499352154377,96,2,5,349
919,26.0019649660587,26.0019649660587,96,2,5,349
922,124.62526098104311,124.62526098104311,96,2,5,349
924,209.851608072686,209.851608072686,96,2,5,349
925,17.596341502483416,17.59634150248342,96,2,5,349
926,24.753362507807694,24.75336250780769,96,2,5,349
928,459.1510043020066,459.1510043020066,96,2,5,349
929,331.1868924601916,331.1868924601916,95,2,5,346
931,227.78971450112726,227.78971450112726,96,2,5,349
